OID_;propertyCode;nivelruido
399;95735124;2
400;95728924;4
401;95717896;4
402;95702179;6
403;95693949;2
404;95661203;3
405;95659615;2
406;95583614;4
407;95600674;4
408;95600669;3
409;95600524;2
410;95600405;5
411;95599826;1
412;95564979;4
413;95564773;3
414;95527710;4
415;95514579;3
416;95511446;4
417;95054431;5
418;83826654;4
419;90996686;4
420;95756034;3
421;95756451;3
422;95749780;4
423;95730251;3
424;92394097;1
425;95720462;1
426;95065195;2
427;95556996;3
428;95541130;2
429;789418;5
430;95277861;1
431;95258788;3
432;84147943;3
433;85469593;3
434;26898170;1
435;92221641;1
436;84053387;5
437;95590327;2
438;95589987;3
439;95304264;5
440;95289740;5
441;91587605;2
442;95225073;1
443;95166323;3
444;90884155;1
445;39088244;2
446;94937768;1
447;94843297;3
448;94535685;4
449;93738244;1
450;92893033;4
451;92097360;3
452;91774613;3
453;91693198;5
454;91278658;4
455;95674539;6
456;95641955;5
457;95634723;2
458;37635062;3
459;95601964;4
460;95572587;4
461;95556839;3
462;95514598;4
463;95512047;3
464;91223569;4
465;95468210;1
466;95468159;3
467;95316492;1
468;95193755;1
469;90114798;2
470;95097256;1
471;94926442;3
472;89258673;3
473;89630218;2
474;86224343;3
475;91135911;3
476;95659724;3
477;95655093;6
478;95581011;3
479;95567636;3
480;88814052;5
481;95553657;3
482;38166412;1
483;95511345;1
484;95475115;2
485;95469966;4
486;95450746;1
487;95343951;4
488;95337064;3
489;95289384;3
490;95166048;1
491;95016720;3
492;94919729;4
493;94442430;5
494;92694137;4
495;86189856;2
496;95752159;3
497;95736688;3
498;95698594;2
499;95622461;4
500;35031166;2
501;95732836;2
502;95730978;1
503;95728888;5
504;95727892;3
505;95725786;2
506;95724488;3
507;95722025;3
508;95720031;2
509;95718490;1
510;95710428;2
511;95703193;2
512;95702707;1
513;95702413;1
514;95105202;2
515;34295275;1
516;87495590;1
517;95105178;5
518;95105168;3
519;91820125;3
520;93929757;4
521;95425609;3
522;95235861;2
523;95235298;2
524;94758490;5
525;95730965;2
526;94595637;3
527;95718567;4
528;95644198;3
529;95601674;2
530;95542571;4
531;30340613;3
532;95753959;1
533;95736075;2
534;95724464;3
535;94873995;6
536;94856277;4
537;94808346;4
538;94444939;1
539;95568819;5
540;95663587;3
541;95724972;2
542;95709887;2
543;90142221;3
544;95566027;4
545;95421127;5
546;95420725;6
547;95431484;1
548;95368443;3
549;95303322;3
550;95232626;1
551;95230531;2
552;95221161;5
553;30739402;1
554;95154500;5
555;95096759;2
556;95096708;3
557;94922415;5
558;94761288;2
559;94584666;1
560;94220786;2
561;81888074;2
562;95753185;4
563;91236759;5
564;95621015;5
565;95585901;2
566;95544268;5
567;95500031;4
568;95499204;4
569;94063849;1
570;91693117;5
571;91542898;5
572;91169549;4
573;95649036;1
574;95628248;3
575;95563867;1
576;95561057;1
577;89233453;1
578;89752608;1
579;95312772;5
580;92377411;2
581;88726587;4
582;95344902;2
583;89678060;2
584;95697594;1
585;95657819;5
586;95620983;3
587;95485513;2
588;95470561;3
589;95467270;3
590;95389681;4
591;95302071;5
592;95290481;4
593;92484110;4
594;95273800;4
595;95377254;5
596;94278441;4
597;94368422;6
598;94171453;1
599;93060022;2
600;91757251;5
601;95710885;6
602;95689617;4
603;95648040;4
604;93742634;3
605;95599614;1
606;95456971;2
607;95404179;4
608;95398423;4
609;95277577;5
610;86766354;2
611;87118786;5
612;95211070;1
613;94768131;2
614;93574727;4
615;89877684;6
616;89415567;5
617;95735611;4
618;95617927;3
619;95717198;3
620;95717211;1
621;95705803;3
622;95705802;4
623;95653676;4
624;95653364;3
625;95624988;5
626;95590332;2
627;95590314;4
628;1555884;1
629;95430075;3
630;95318646;5
631;95215458;4
632;94582188;2
633;95676638;2
634;95674660;3
635;95539870;3
636;95636293;2
637;95524837;6
638;95172859;2
639;95227676;3
640;95216058;4
641;93694504;3
642;84116101;3
643;87250277;5
644;39749681;4
645;95739518;5
646;95695727;5
647;32067482;3
648;95416139;3
649;95375922;4
650;95336764;4
651;95242977;2
652;95214822;3
653;39689938;1
654;95659301;2
655;95648103;1
656;95577964;6
657;95538561;1
658;95492023;1
659;95350630;3
660;94751381;2
661;94750802;3
662;95668655;1
663;95667998;2
664;95642494;6
665;95612192;2
666;95597129;5
667;95594894;2
668;92005225;6
669;95582628;2
670;95577971;5
671;95555739;3
672;95334799;3
673;91572798;1
674;92788575;5
675;95100600;3
676;95691212;3
677;95689102;3
678;95671085;5
679;95655386;4
680;95647185;2
681;95646549;3
682;95613768;4
683;89366112;6
684;95570399;3
685;95512164;5
686;95278471;3
687;89390533;3
688;87446846;3
689;92325417;5
690;95640803;1
691;95679745;5
692;95665559;3
693;95739851;1
694;92484035;2
695;95706753;1
696;95704331;1
697;95443599;6
698;95319559;1
699;95695266;3
700;95625190;1
701;95559145;2
702;92472772;2
703;90750801;6
704;95307652;2
705;92377031;4
706;92038933;3
707;85506065;1
708;95697691;3
709;95684106;3
710;95180937;3
711;95615940;3
712;95606452;4
713;95559961;3
714;95198643;4
715;94972047;4
716;93983331;3
717;27659210;4
718;33323977;2
719;95721162;3
720;95720554;1
721;95620063;3
722;95587358;3
723;95484137;3
724;95404354;2
725;95401233;1
726;92427117;4
727;94779563;2
728;84854034;3
729;93662471;5
730;90879026;3
731;93236162;1
732;91073764;3
733;88021299;5
734;40047678;1
735;91283517;2
736;94313960;3
737;90704182;1
738;86498576;3
739;95481091;3
740;95261297;5
741;95196772;3
742;95694117;1
743;95689722;5
744;86991268;3
745;95616911;3
746;95582859;4
747;95569433;3
748;95527408;3
749;95519062;2
750;95388486;2
751;95199443;2
752;95135663;3
753;95093194;4
754;95015431;1
755;92780060;1
756;92519072;3
757;91027303;2
758;90762550;2
759;1143240;3
760;95169398;6
761;91676810;1
762;39211576;3
763;95407522;3
764;92848706;1
765;95109844;2
766;95672746;4
767;88078928;2
768;95640195;4
769;95639968;4
770;93263673;4
771;95172865;4
772;86824323;1
773;94239585;2
774;92101193;5
775;95680003;2
776;95608373;4
777;95553397;4
778;95553541;1
779;95647504;3
780;95646801;3
781;95613580;5
782;90494996;3
783;95581689;3
784;95531142;6
785;88431938;2
786;91877929;2
787;87294908;5
788;95689572;3
789;95689457;5
790;87855198;1
791;95403400;3
792;95339108;4
793;90081493;6
794;94688735;1
795;93577010;4
796;93394281;4
797;38298198;1
798;89743565;1
799;95597396;4
800;95133844;2
801;95575616;3
802;95616679;2
803;95421818;4
804;83958004;1
805;95403027;3
806;95243601;3
807;95211091;3
808;95159940;4
809;95000667;1
810;94596939;3
811;91533658;5
812;94374788;3
813;25917835;6
814;90937118;1
815;92231910;1
816;86355240;4
817;89878966;1
818;95368050;5
819;94396615;1
820;92686769;2
821;87121222;2
822;95244598;1
823;95634834;1
824;95639698;4
825;95594401;3
826;87604045;2
827;82613523;3
828;94037248;2
829;92533233;1
830;90047304;2
831;88420389;1
832;82991318;4
833;95665105;1
834;95633384;1
835;95499426;1
836;83859164;2
837;95618049;3
838;95505945;5
839;91897845;3
840;34050597;3
841;95751810;1
842;95750892;1
843;95718158;6
844;95739376;5
845;95736078;1
846;95427928;2
847;95277225;3
848;95277187;2
849;95152110;3
850;94685003;3
851;93665550;2
852;93429621;1
853;92569870;5
854;92559152;3
855;92524565;4
856;92521503;1
857;92521502;3
858;91498472;5
859;95736213;6
860;95684969;1
861;95602068;4
862;95584110;3
863;95433789;4
864;94959222;3
865;95740252;5
866;94837276;5
867;88658172;3
868;84536620;1
869;94460381;2
870;95617690;5
871;95610662;6
872;95583999;1
873;95751580;6
874;95754405;1
875;95310016;3
876;95726085;1
877;95705376;2
878;84352094;3
879;95599276;3
880;95587846;3
881;95216188;4
882;92893680;4
883;95728547;5
884;95718919;4
885;95712576;3
886;30582993;3
887;95642289;3
888;39533665;4
889;95295643;2
890;95211354;4
891;85743675;2
892;95106491;4
893;95116036;1
894;94829287;5
895;94812083;1
896;94715697;3
897;94750930;1
898;94598247;2
899;94468760;1
900;85319307;5
901;91921281;5
902;91551571;4
903;95561475;2
904;95498111;3
905;94416967;4
906;95755363;3
907;95706953;2
908;95710259;6
909;89338358;5
910;95666725;4
911;94757195;3
912;95604434;3
913;95548349;3
914;95423152;2
915;95283865;4
916;95253265;3
917;95225106;1
918;89141754;4
919;95662123;4
920;95759556;5
921;95751108;1
922;95712867;1
923;95707828;2
924;81867487;6
925;95607839;1
926;95385757;1
927;95260490;4
928;94822120;5
929;91541504;1
930;91496279;2
931;91479973;1
932;91455482;1
933;91090589;5
934;89097406;3
935;88918792;3
936;85320130;1
937;95696646;3
938;95659463;3
939;95619212;2
940;83354430;1
941;95573229;2
942;95754313;6
943;95753427;1
944;90908340;3
945;95725144;3
946;95706407;5
947;95648047;4
948;95640121;4
949;91254837;2
950;85943640;3
951;95619325;5
952;93741208;2
953;81903840;6
954;86821012;5
955;95244012;4
956;94947039;1
957;95740192;3
958;95722100;3
959;95439429;2
960;95426099;2
961;95426098;3
962;95426094;4
963;95426068;2
964;95399144;2
965;88166168;3
966;94605689;3
967;95220775;5
968;95173906;2
969;95149043;5
970;95058116;3
971;95015619;2
972;94938636;1
973;94911170;1
974;94826766;2
975;93512228;4
976;93512206;2
977;94616782;3
978;94459805;5
979;94129521;2
980;94101806;1
981;95261689;4
982;93414300;1
983;93068807;2
984;93068699;2
985;89710149;1
986;89707000;1
987;89706317;1
988;89705355;1
989;88425744;1
990;88425561;1
991;84116278;4
992;89056905;3
993;28563137;5
994;88618780;2
995;95730064;4
996;91895518;5
997;95706062;2
998;95703884;6
999;91830583;4
1000;91336053;3
1001;82556790;4
1002;34909131;3
1003;95754233;3
1004;95742530;2
1005;95738756;3
1006;95734527;2
1007;95724185;5
1008;95724033;2
1009;95722194;3
1010;95573089;4
1011;95540646;1
1012;95463465;4
1013;94952253;3
1014;94804810;3
1015;94124780;5
1016;93682762;4
1017;93385526;1
1018;92227951;5
1019;91009334;4
1020;92070668;5
1021;90491639;6
1022;90368221;5
1023;90323746;6
1024;89938334;1
1025;89096789;2
1026;88497367;4
1027;85319686;3
1028;95688189;4
1029;95652778;2
1030;95589192;2
1031;95542158;2
1032;95754483;1
1033;95751757;1
1034;95748299;1
1035;95690403;3
1036;95687795;4
1037;95643395;1
1038;95600245;2
1039;28283098;3
1040;95466189;5
1041;95383939;3
1042;95312739;4
1043;95287384;2
1044;95200211;1
1045;95049184;6
1046;94595741;1
1047;94595725;2
1048;93863587;3
1049;91757359;1
1050;91491564;5
1051;91099077;2
1052;88892608;4
1053;95728704;4
1054;95696049;4
1055;91649932;5
1056;95632648;4
1057;95588544;2
1058;95586600;3
1059;95557422;3
1060;95736412;2
1061;95757403;4
1062;95727907;6
1063;95703633;2
1064;81303138;3
1065;92815582;4
1066;92811759;4
1067;95713362;4
1068;94745053;3
1069;95496451;5
1070;95029420;1
1071;94772932;2
1072;95705805;2
1073;87546607;4
1074;95689716;2
1075;95657014;1
1076;95643118;6
1077;95606332;4
1078;95500568;3
1079;95514225;2
1080;95295261;1
1081;94760617;1
1082;94606098;1
1083;94044303;2
1084;95741725;5
1085;93592593;2
1086;29359997;5
1087;95718805;2
1088;95658681;3
1089;95633445;3
1090;95633225;3
1091;89233451;1
1092;95546337;3
1093;90603778;3
1094;90853865;4
1095;94244607;3
1096;92438581;3
1097;94750800;4
1098;95606550;3
1099;95595073;2
1100;95586942;1
1101;95543449;2
1102;95534977;3
1103;95406717;3
1104;90295626;1
1105;95333382;3
1106;95255561;1
1107;94811135;2
