OID_;propertyCode;avg_d_kbps;avg_u_kbps
454;91278658;214757;181489
455;95674539;187085;126346
456;95641955;184069;140924
457;95634723;158392;114125
458;37635062;153863;124068
459;95601964;194247;148438
460;95572587;182179;136402
461;95556839;194247;148438
462;95514598;209951;199592
463;95512047;185508;114934
464;91223569;155214;148392
465;95468210;155124;127485
466;95468159;139352;105617
467;95316492;228647;175280
468;95193755;182475;133296
469;90114798;121951;99378
470;95097256;136865;121366
471;94926442;188058;162998
472;89258673;139352;105617
473;89630218;139352;105617
474;86224343;161218;133320
475;91135911;242422;213850
476;95659724;175431;131081
477;95655093;146760;128405
478;95581011;174620;130372
479;95567636;289252;272599
480;88814052;158392;114125
481;95553657;188058;162998
482;38166412;257302;168351
483;95511345;139325;121662
484;95475115;222097;160916
485;95469966;187085;126346
486;95450746;184069;140924
487;95343951;205245;157976
488;95337064;257302;168351
489;95289384;289252;272599
490;95166048;185943;144533
491;95016720;242908;203202
492;94919729;202727;162432
493;94442430;132690;105282
494;92694137;210799;136214
495;86189856;163654;111478
496;95752159;129636;114523
497;95736688;233803;161987
498;95698594;182093;149480
499;95622461;205245;157976
500;35031166;184069;140924
501;95732836;200243;126433
502;95730978;187606;169334
503;95728888;185508;114934
504;95727892;253272;198554
505;95725786;231431;180607
506;95724488;223844;163182
507;95722025;210799;136214
508;95720031;185943;144533
509;95718490;136865;121366
510;95710428;200243;126433
511;95703193;207921;175170
512;95702707;161218;133320
513;95702413;185943;144533
514;95105202;128004;109403
515;34295275;231055;143191
516;87495590;136865;121366
517;95105178;155214;148392
518;95105168;132690;105282
519;91820125;210662;148166
520;93929757;233734;223953
521;95425609;246285;220031
522;95235861;202727;162432
523;95235298;202727;162432
524;94758490;153863;124068
525;95730965;189025;140689
526;94595637;192629;146979
527;95718567;144806;120310
528;95644198;158392;114125
529;95601674;207921;175170
530;95542571;182093;149480
531;30340613;163654;111478
532;95753959;182093;149480
533;95736075;144806;120310
534;95724464;158928;134059
535;94873995;121951;99378
536;94856277;121951;99378
537;94808346;161218;133320
538;94444939;121951;99378
539;95568819;218317;140350
540;95663587;217680;163373
541;95724972;202185;154838
542;95709887;146760;128405
543;90142221;169876;117008
544;95566027;184069;140924
545;95421127;175546;126378
546;95420725;157560;100962
547;95431484;121951;99378
548;95368443;189025;140689
549;95303322;205245;157976
550;95232626;213080;163989
551;95230531;205684;131476
552;95221161;228647;175280
553;30739402;214757;181489
554;95154500;229914;163009
555;95096759;202727;162432
556;95096708;202720;160126
557;94922415;233734;223953
558;94761288;146760;128405
559;94584666;139325;121662
560;94220786;134633;107507
561;81888074;136865;121366
562;95753185;229914;163009
563;91236759;110867;101976
564;95621015;146537;107343
565;95585901;218317;140350
566;95544268;169876;117008
567;95500031;139352;105617
568;95499204;155214;148392
569;94063849;188100;153880
570;91693117;192629;146979
571;91542898;192629;146979
572;91169549;128004;109403
573;95649036;158928;134059
574;95628248;178344;154357
575;95563867;211772;162125
576;95561057;136865;121366
577;89233453;136865;121366
578;89752608;155124;127485
579;95312772;139302;123231
580;92377411;192039;177069
581;88726587;121951;99378
582;95344902;206873;180756
583;89678060;139325;121662
584;95697594;198610;170636
585;95657819;139352;105617
586;95620983;195981;151312
587;95485513;174620;130372
588;95470561;202727;162432
589;95467270;121951;99378
590;95389681;222097;160916
591;95302071;250161;223406
592;95290481;185943;144533
593;92484110;161218;133320
594;95273800;139325;121662
595;95377254;215022;162452
596;94278441;214757;181489
597;94368422;240785;184204
598;94171453;210799;136214
599;93060022;165247;127703
600;91757251;174620;130372
601;95710885;213562;159215
602;95689617;184069;140924
603;95648040;192247;163203
604;93742634;200243;126433
605;95599614;197701;164489
606;95456971;194190;169942
607;95404179;157707;138799
608;95398423;223844;163182
609;95277577;217680;163373
610;86766354;231431;180607
611;87118786;165247;127703
612;95211070;158928;134059
613;94768131;139325;121662
614;93574727;110867;101976
615;89877684;175431;131081
616;89415567;359365;371378
617;95735611;163830;85084
618;95617927;187606;169334
619;95717198;184069;140924
620;95717211;249382;189702
621;95705803;225250;161773
622;95705802;110867;101976
623;95653676;144479;72811
624;95653364;144479;72811
625;95624988;230546;154476
626;95590332;165312;124423
627;95590314;153863;124068
628;1555884;224509;197692
629;95430075;232177;148718
630;95318646;174620;130372
631;95215458;175431;131081
632;94582188;139325;121662
633;95676638;186410;138785
634;95674660;157560;100962
635;95539870;110867;101976
636;95636293;172362;145622
637;95524837;232177;148718
638;95172859;205245;157976
639;95227676;171902;129786
640;95216058;171902;129786
641;93694504;171902;129786
642;84116101;175431;131081
643;87250277;210662;148166
644;39749681;121951;99378
645;95739518;172362;145622
646;95695727;232177;148718
647;32067482;174620;130372
648;95416139;216907;149969
649;95375922;184069;140924
650;95336764;121951;99378
651;95242977;165200;144805
652;95214822;161218;133320
653;39689938;186135;142319
654;95659301;139352;105617
655;95648103;158928;134059
656;95577964;218317;140350
657;95538561;194190;169942
658;95492023;125641;122257
659;95350630;192629;146979
660;94751381;184069;140924
661;94750802;215022;162452
662;95668655;158928;134059
663;95667998;200243;126433
664;95642494;175546;126378
665;95612192;209951;199592
666;95597129;139352;105617
667;95594894;161218;133320
668;92005225;182093;149480
669;95582628;202185;154838
670;95577971;194190;169942
671;95555739;192629;146979
672;95334799;132690;105282
673;91572798;165200;144805
674;92788575;132690;105282
675;95100600;153863;124068
676;95691212;153603;175411
677;95689102;215022;162452
678;95671085;182989;145859
679;95655386;241637;180676
680;95647185;200243;126433
681;95646549;165247;127703
682;95613768;182989;145859
683;89366112;214757;181489
684;95570399;213080;163989
685;95512164;189025;140689
686;95278471;215022;162452
687;89390533;155214;148392
688;87446846;184069;140924
689;92325417;215022;162452
690;95640803;253272;198554
691;95679745;173896;128253
692;95665559;257302;168351
693;95739851;231055;143191
694;92484035;192392;156624
695;95706753;204011;165854
696;95704331;200243;126433
697;95443599;187606;169334
698;95319559;194190;169942
699;95695266;157707;138799
700;95625190;213562;159215
701;95559145;196137;168472
702;92472772;161218;133320
703;90750801;170403;131781
704;95307652;242422;213850
705;92377031;192039;177069
706;92038933;139302;123231
