propertyCode,address,province,municipality,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift
95751360,Calle del Pare Rico,València,València,Extramurs,es,La Petxina,39.4731234,-0.3872934,891,3,720,flat,81,True,3,1,good,1.0
95748088,"Avenida del Puerto, 109",València,València,Camins al Grau,es,Aiora,39.4649943,-0.3488944,2526,3,800,penthouse,50,True,2,1,good,0.0
95741591,Calle Pintor Peiró,València,València,El Pla del Real,es,Exposició,39.4764371,-0.3658385,1142,2,1200,flat,90,True,2,2,good,1.0
95738471,Calle de Don Juan de Austria,València,València,Ciutat Vella,es,Sant Francesc,39.4685961,-0.3744862,367,2,750,flat,50,True,1,2,good,1.0
95736076,Avenida de Burjassot,València,València,La Saïdia,es,Marxalenes,39.4839727,-0.3842536,1550,2,845,flat,81,True,3,1,good,1.0
95735852,Calle Salvador Perles s/n,València,València,Jesús,es,Sant Marcellí,39.4428574,-0.3911715,3362,1,720,flat,85,True,3,2,good,1.0
95735706,barrio El Mercat,València,València,Ciutat Vella,es,El Mercat,39.4738674,-0.3791578,346,4,1700,flat,83,True,2,2,good,1.0
95735682,"Calle Santa Genoveva Torres, 2",València,València,Rascanya,es,Sant Llorenç,39.4949131,-0.3617223,2961,7,999,flat,100,True,3,2,good,1.0
95733247,Calle de Vicent Sancho Tello,València,València,El Pla del Real,es,Mestalla,39.4677239,-0.3576157,1726,5,750,flat,75,True,2,1,good,1.0
94779007,Calle Don Juan de Austria,València,València,Ciutat Vella,es,Sant Francesc,39.4691189,-0.37425559999999997,339,3,630,studio,52,True,0,1,good,1.0
94210159,"Calle del Comte d'Altea, 34",València,València,L'Eixample,es,Gran Vía,39.4663975,-0.3666353,1050,4,850,flat,90,True,4,2,good,1.0
92070684,barrio Sant Francesc,València,València,Ciutat Vella,es,Sant Francesc,39.4676907,-0.37857169999999996,398,2,900,flat,43,False,2,1,good,1.0
91943309,Paseo Serra d 'Espadá,València,Alboraya,La Patacona,es,,39.489108,-0.32957759999999997,4552,7,1900,flat,92,True,2,2,good,1.0
91755682,Plaza Poeta Badenes,València,València,Quatre Carreres,es,Na Rovella,39.4575976,-0.3617757,2005,6,1200,flat,100,True,2,2,good,1.0
91237308,barrio Gran Vía,València,València,L'Eixample,es,Gran Vía,39.4636187,-0.3690636,1090,1,850,flat,80,True,2,1,good,1.0
89727388,barrio Sant Francesc,València,València,Ciutat Vella,es,Sant Francesc,39.468499,-0.3767694,294,9,2000,flat,60,True,1,1,good,1.0
95668208,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4716041,-0.32969339999999997,4081,2,1250,penthouse,100,True,3,1,good,0.0
