propertyCode,address,province,city,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity
95751671,barrio La Petxina,Valencia,Valencia,Extramurs,España,La Petxina,39.4738927,-0.3880204,975,1,1200,flat,65,True,2,1,good,True,1
95751360,Calle del Pare Rico,Valencia,Valencia,Extramurs,España,La Petxina,39.4731234,-0.3872934,891,3,720,flat,81,True,3,1,good,True,1
95748088,"Avenida del Puerto, 109",Valencia,Valencia,Camins al Grau,España,Aiora,39.4649943,-0.3488944,2526,3,800,penthouse,50,True,2,1,good,False,1
95741591,Calle Pintor Peiró,Valencia,Valencia,El Pla del Real,España,Exposició,39.4764371,-0.3658385,1142,2,1200,flat,90,True,2,2,good,True,1
95738471,Calle de Don Juan de Austria,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4685961,-0.3744862,367,2,750,flat,50,True,1,2,good,True,1
95736076,Avenida de Burjassot,Valencia,Valencia,La Saïdia,España,Marxalenes,39.4839727,-0.3842536,1550,2,845,flat,81,True,3,1,good,True,1
95735852,Calle Salvador Perles s/n,Valencia,Valencia,Jesús,España,Sant Marcellí,39.4428574,-0.3911715,3362,1,720,flat,85,True,3,2,good,True,1
95735706,barrio El Mercat,Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4738674,-0.3791578,346,4,1700,flat,83,True,2,2,good,True,1
95735682,"Calle Santa Genoveva Torres, 2",Valencia,Valencia,Rascanya,España,Sant Llorenç,39.4949131,-0.3617223,2961,7,999,flat,100,True,3,2,good,True,1
95733247,Calle de Vicent Sancho Tello,Valencia,Valencia,El Pla del Real,España,Mestalla,39.4677239,-0.3576157,1726,5,750,flat,75,True,2,1,good,True,1
94779007,Calle Don Juan de Austria,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4691189,-0.3742555999999999,339,3,630,studio,52,True,0,1,good,True,1
94210159,"Calle del Comte d'Altea, 34",Valencia,Valencia,L'Eixample,España,Gran Vía,39.4663975,-0.3666353,1050,4,850,flat,90,True,4,2,good,True,1
92070684,barrio Sant Francesc,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4676907,-0.3785716999999999,398,2,900,flat,43,False,2,1,good,True,1
91755682,Plaza Poeta Badenes,Valencia,Valencia,Quatre Carreres,España,Na Rovella,39.4575976,-0.3617757,2005,6,1200,flat,100,True,2,2,good,True,1
91237308,barrio Gran Vía,Valencia,Valencia,L'Eixample,España,Gran Vía,39.4636187,-0.3690636,1090,1,850,flat,80,True,2,1,good,True,1
89727388,barrio Sant Francesc,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.468499,-0.3767694,294,9,2000,flat,60,True,1,1,good,True,1
95668208,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4716041,-0.3296933999999999,4081,2,1250,penthouse,100,True,3,1,good,False,1
95659700,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4615679,-0.3325272999999999,3982,1,1000,flat,90,True,2,1,good,False,1
95654534,barrio Malilla,Valencia,Valencia,Quatre Carreres,España,Malilla,39.4572386,-0.3743315,1563,2,950,flat,94,True,2,2,good,True,1
95614955,barrio La Seu,Valencia,Valencia,Ciutat Vella,España,La Seu,39.4769104,-0.3774864,643,4,800,flat,38,True,1,1,good,False,1
95568845,barrio En Corts,Valencia,Valencia,Quatre Carreres,España,En Corts,39.457772,-0.3709637,1579,2,1000,penthouse,60,True,1,2,good,False,1
95568276,barrio La Petxina,Valencia,Valencia,Extramurs,España,La Petxina,39.4701091,-0.3912613,1209,6,1200,flat,65,True,1,1,good,True,1
95543183,Calle Periodista Badía,Valencia,Valencia,El Pla del Real,España,Exposició,39.4786152,-0.3631532,1468,1,800,flat,80,True,2,1,good,True,1
95525691,Calle de la Reina,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4717998,-0.3292685999999999,4117,2,790,flat,67,True,3,1,good,False,1
95760185,barrio Ciutat Fallera,Valencia,Valencia,Benicalap,España,Ciutat Fallera,39.4983628,-0.3956766,3417,2,750,flat,90,False,4,2,good,True,1
95715217,barrio Penya-Roja,Valencia,Valencia,Camins al Grau,España,Penya-Roja,39.4650684,-0.3587439,1724,2,660,flat,63,True,2,1,good,True,1
95207292,Calle Escultor José Capuz,Valencia,Valencia,Quatre Carreres,España,Mont-Olivet,39.4597598,-0.3633655,1736,4,970,flat,100,True,2,2,good,True,1
89289756,Calle de la Sénia,Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4737849,-0.3774036,296,1,1929,flat,67,False,2,2,good,False,1
95720720,Calle de Trinitarios,Valencia,Valencia,Ciutat Vella,España,La Xerea,39.4756305,-0.3701687999999999,786,2,1100,flat,100,True,2,2,good,True,1
95733267,"Gran Vía del Marqués del Turia, 4",Valencia,Valencia,L'Eixample,España,Gran Vía,39.4651604,-0.3724736999999999,778,1,800,flat,70,True,1,1,good,True,1
95732381,Calle Molinell,Valencia,Valencia,La Saïdia,España,Trinitat,39.4834675,-0.3695198,1524,3,650,flat,88,True,3,1,good,True,1
